model,metric,value
MLP_classification,Accuracy,1.0
MLP_classification,Precision,1.0
MLP_classification,Recall,1.0
MLP_classification,F1 Score,1.0
MLP_classification,ROC AUC,1.0
MLP_classification,PR AP,1.0
MLP_classification,TP,835719.0
MLP_classification,FP,0.0
MLP_classification,FN,0.0
MLP_classification,TN,1389309.0
MLP_classification,MCC,1.0
MLP_regression,MAE,5.1087
MLP_regression,MSE,541.2356
MLP_regression,RMSE,23.2645
MLP_regression,R2,0.9749
MLP_from_reg,Accuracy,0.9822
MLP_from_reg,Precision,0.9633
MLP_from_reg,Recall,0.9378
MLP_from_reg,F1 Score,0.9504
MLP_from_reg,ROC AUC,0.9649
MLP_from_reg,PR AP,0.9147
MLP_from_reg,TP,378533.0
MLP_from_reg,FP,14409.0
MLP_from_reg,FN,25107.0
MLP_from_reg,TN,1806979.0
MLP_from_reg,MCC,0.9397
LSTM_regression,MAE,40103.2271
LSTM_regression,MSE,4680100344.308
LSTM_regression,RMSE,68411.2589
LSTM_regression,R2,-0.5235
LSTM_from_reg,Accuracy,1.0
LSTM_from_reg,Precision,1.0
LSTM_from_reg,Recall,1.0
LSTM_from_reg,F1 Score,1.0
LSTM_from_reg,ROC AUC,
LSTM_from_reg,PR AP,1.0
LSTM_from_reg,TP,363.0
LSTM_from_reg,FP,0.0
LSTM_from_reg,FN,0.0
LSTM_from_reg,TN,0.0
LSTM_from_reg,MCC,0.0
